Tipo_Producto;     Nombre_Producto_Asociado;    Evento;     Año;     País;     Ciudad;     Financiación;     Observaciones
Simposio;On the Use of the SEMAT Kernel within a Software Engineering Course;Latin American Software Engineering Symposium LASES 2014;2014;-;BARRANQUILLA;Sin Información;-
Otro;How Distributed Version Control Systems impact Open Source Software Projects;The 9th Working Conference on Mining Software Repositories, MSR 2012;2012;-;;Sin Información;-
Otro;Mining Source Code Descriptions from Developer Communications;2012 IEEE 20th International Conference on Program Comprehension (ICPC 2012);2012;-;Passau;Sin Información;-
Otro;Towards the Automatic Extraction of Structural Business Rules from Legacy Databases;The 19th Working Conference on Reverse Engineering;2012;-;Kingston;Sin Información;-
Otro;DevMeter: una Herramienta que mide la Contribución de los Desarrolladores;XXVI Conferencia Latinoamericana de Informatica;2010;-;Asunción;Sin Información;-
Otro;SeeIT 3D: un plugin de Eclipse para visualizar y comprender código fuente;XXVI Conferencia Latinoamericana de Informatica;2010;-;Asunción;Sin Información;-
Congreso;On the Use of Automated Text Summarization Techniques for Summarizing Source Code;17th Working Conference on Reverse Engineering;2010;-;BOGOTÁ, D.C.;Sin Información;-
Encuentro;Summarizing Source Code Artifacts;Encuentro Nacional de Investigación y Desarrollo, ENIP 2010;2010;-;BOGOTÁ, D.C.;Sin Información;-
Taller;Improving Traceability Link Recovery Methods through Software Artifact Summarization;6th International Workshop on Traceability in Emerging Forms of Software Engineering;2011;-;Hawaii;Sin Información;-
Otro;Analyzing Human Summaries of Source Code Artifacts;XXXVII Conferencia Latinoamericana de Informática;2011;-;Quito;Sin Información;-
