Tipo_Producto; Nombre_Producto;ISBN/ISSN; Tipo_Obra; Publicado_en; País; Año; Idioma; Volumen; Página; Nombre_del_Capítulo; Carácter; Idioma_Destino; Entidad; Número/Código_Registro; Observaciones_Extra
Artículo de revista;Multimodal visualization based on latent topic analysis;0018-9219;-;Proceedings Of The Ieee;-;2014;Sin Información;N/A;1 a 6;-;-;-;-;-;-
Artículo de revista;Soft Cardinality in Semantic Text Processing: Experience of the SemEval International Competitions;1870-9044;-;Polibits;-;2015;Sin Información;51;63 a 72;-;-;-;-;-;-
Artículo de revista;Convolutional neural networks for mammography mass lesion classification;1557-170X;-;Conference Proceedings: Annual International Conference Of The Ieee Engineering In Medicine And Biology Society. Ieee Engineering In Medicine And Biology Society. Conference;-;2015;Sin Información;N/A;797 a 800;-;-;-;-;-;-
Artículo de revista;Distributed Cache Strategies for Machine Learning Classification Tasks over Cluster Computing Resources;1865-0929;-;Communications In Computer And Information Science;-;2014;Sin Información;485;43 a 53;-;-;-;-;-;-
Artículo de revista;Classification of Low-Level Atmospheric Structures Based on a Pyramid Representation and a Machine Learning Method;0302-9743;-;Lecture Notes In Computer Science;-;2015;Sin Información;9423;19 a 26;-;-;-;-;-;-
Artículo de revista;A hybrid metaheuristic algorithm for the capacitated location routing problem;0012-7353;-;Dyna;-;2015;Sin Información;82;243 a 251;-;-;-;-;-;-
Artículo de revista;Accelerating common machine learning algorithms through GPGPU symbolic computing;0018-9219;-;Proceedings Of The Ieee;-;2015;Sin Información;N/A;387 a 391;-;-;-;-;-;-
Artículo de revista;An Overview of Biomolecular Event Extraction from Scientific Documents;1748-6718;-;Computational And Mathematical Methods In Medicine;-;2015;Sin Información;2015;1 a 19;-;-;-;-;-;-
Artículo de revista;Online Kernel Matrix Factorization;0302-9743;-;Lecture Notes In Computer Science;-;2015;Sin Información;9423;651 a 658;-;-;-;-;-;-
Artículo de revista;Annotating and Retrieving Videos of Human Actions Using Matrix Factorization;0302-9743;-;Lecture Notes In Computer Science;-;2015;Sin Información;9423;743 a 750;-;-;-;-;-;-
Artículo de revista;A Model to Predict Low Academic Performance at a Specific Enrollment Using Data Mining;1932-8540;-;Ieee-Rita Latin American Learning Technologies Journal;-;2015;Sin Información;10;119 a 125;-;-;-;-;-;-
Artículo de revista;Improving the BoVW via discriminative visual n-grams and MKL strategies;0925-2312;-;Neurocomputing;-;2016;Sin Información;175;768 a 781;-;-;-;-;-;-
Artículo de revista;Multimodal latent topic analysis for image collection summarization;0020-0255;-;Information Sciences;-;2016;Sin Información;328;270 a 287;-;-;-;-;-;-
Artículo de revista;Products recommendation based on interpretable user profiles;0123-921X;-;Tecnura;-;2015;Sin Información;19;89 a 100;-;-;-;-;-;-
Artículo de revista;An unsupervised feature learning framework for basal cell carcinoma image analysis;0933-3657;-;Artificial Intelligence In Medicine;-;2015;Sin Información;64;131 a 145;-;-;-;-;-;-
Artículo de revista;ZETEMA: A web service for automatic short-answer questions grading;0018-9219;-;Proceedings Of The Ieee;-;2015;Sin Información;N/A;504 a 508;-;-;-;-;-;-
Artículo de revista;Combining Unsupervised Feature Learning and Riesz Wavelets for Histopathology Image Representation: Application to Identifying Anaplastic Medulloblastoma;0302-9743;-;Lecture Notes In Computer Science;-;2015;Sin Información;9349;581 a 588;-;-;-;-;-;-
Artículo de revista;Improving the efficiency of branch-and-bound complete-search NMR assignment using the symmetry of molecules and spectra;1089-7690;-;Journal Of Chemical Physics;-;2015;Sin Información;142;1 a 18;-;-;-;-;-;-
Artículo de revista;Semi-supervised Dimensionality Reduction via Multimodal Matrix Factorization;0302-9743;-;Lecture Notes In Computer Science;-;2015;Sin Información;9423;676 a 682;-;-;-;-;-;-
Artículo de revista;Programación Funcional: Conceptos y Perspectivas;0120-5609;-;Ingeniería E Investigación;-;1998;Sin Información;--;65 a 71;-;-;-;-;-;-
Artículo de revista;Visión Estadística de las Redes Neuronales.;00000000;-;XIV Coloquio Distrital de Matemáticas y Estadística;-;1997;Sin Información;--; a  a  a ;-;-;-;-;-;-
Artículo de revista;Desarrollo de un Agente Inteligente para Internet Utilizando Algoritmos Genéticos y Lógica Difusa.;0120-8160;-;Revista Escuela De Administración De Negocios;-;1996;Sin Información;--;5 a 16;-;-;-;-;-;-
Artículo de revista;Un Nuevo Enfoque para la Resolución de Problemas: las Redes Neuronales.;0120-8160;-;Revista Escuela De Administración De Negocios;-;1995;Sin Información;--;35 a 40;-;-;-;-;-;-
Artículo de revista;A Randomized Real-Valued Negative Selection Algorithm;0302-9743;-;Lecture Notes In Computer Science;-;2003;Sin Información;2787;261 a 272;-;-;-;-;-;-
Artículo de revista;A Scalable Artificial Immune System Model for Dynamic Unsupervised Learning;0302-9743;-;Lecture Notes In Computer Science;-;2003;Sin Información;2723;222 a 233;-;-;-;-;-;-
Artículo de revista;Anomaly detection using real-valued negative selection;1389-2576;-;Genetic Programming And Evolvable Machines;-;2003;Sin Información;4;383 a 403;-;-;-;-;-;-
Artículo de revista;An Immunity-Based Technique to Characterize Intrusions in Computer Networks.;1089-778X;-;Ieee Transactions On Evolutionary Computation;-;2002;Sin Información;6;1081 a 1088;-;-;-;-;-;-
Artículo de revista;The effect of binary matching rules in negative selection;0302-9743;-;Lecture Notes In Computer Science;-;2003;Sin Información;2723;198 a 209;-;-;-;-;-;-
Artículo de revista;Using Adaptive Operators in Genetic Search.;0302-9743;-;Lecture Notes In Computer Science;-;2003;Sin Información;2724;1577 a 1578;-;-;-;-;-;-
Artículo de revista;Sistemas de Recuperación de Información;0121-750X;-;Ingeniería;-;2004;Sin Información;9;57 a 62;-;-;-;-;-;-
Artículo de revista;An Intelligent Decision Support System for Intrusion Detection and Response;0302-9743;-;Lecture Notes In Computer Science;-;2001;Sin Información;2052;1 a 14;-;-;-;-;-;-
Artículo de revista;A Neuro-Immune Model for Discriminating and Visualizing Anomalies;1567-7818;-;Natural Computing;-;2006;Sin Información;5;285 a 304;-;-;-;-;-;-
Artículo de revista;CIDS: An Agent-based Intrusion Detection System;0167-4048;-;Computers &Amp| Security;-;2005;Sin Información;24;387 a 398;-;-;-;-;-;-
Artículo de revista;Content-Based Medical Image Retrieval Using Low-Level Visual Features and Modality Identification;0302-9743;-;Lecture Notes In Computer Science;-;2008;Sin Información;5152;615 a 622;-;-;-;-;-;-
Artículo de revista;A Semantic Content-Based Retrieval Method for Histopathology Images;0302-9743;-;Lecture Notes In Computer Science;-;2008;Sin Información;4993;51 a 60;-;-;-;-;-;-
Artículo de revista;Automatic Clump Splitting for Cell Quantification in Microscopical Images;0302-9743;-;Lecture Notes In Computer Science;-;2007;Sin Información;4756;763 a 772;-;-;-;-;-;-
Artículo de revista;Infected Cell Identification in Thin Blood Images Based on Color Pixel Classification: Comparison and Analysis;0302-9743;-;Lecture Notes In Computer Science;-;2007;Sin Información;4756;812 a 821;-;-;-;-;-;-
Artículo de revista;Design of a Medical Image Database with Content-Based Retrieval Capabilities;0302-9743;-;Lecture Notes In Computer Science;-;2007;Sin Información;4872;919 a 931;-;-;-;-;-;-
Artículo de revista;A solution concept for Artificial Immune Networks: A coevolutionary perspective;0302-9743;-;Lecture Notes In Computer Science;-;2007;Sin Información;4628;35 a 46;-;-;-;-;-;-
Artículo de revista;Herramienta informática para vigilancia tecnológica -VIGTECH-;1657-7663;-;Avances En Sistemas E Informática;-;2007;Sin Información;4;117 a 126;-;-;-;-;-;-
Artículo de revista;Unsupervised feature learning for content-based histopathology image retrieval;0018-9219;-;Proceedings Of The Ieee;-;2014;Sin Información;N/A;1 a 6;-;-;-;-;-;-
Artículo de revista;Automatic detection of Wheezes by evaluation of multiple acoustic feature extraction methods and C-weighted SVM;0277-786X;-;Proceedings Of Spie, The International Society For Optical Engineering;-;2015;Sin Información;9287;928709 a 928709;-;-;-;-;-;-
Artículo de revista;Online multimodal matrix factorization for human action video indexing;0018-9219;-;Proceedings Of The Ieee;-;2014;Sin Información;N/A;1 a 6;-;-;-;-;-;-
Artículo de revista;Cascaded ensemble of convolutional neural networks and handcrafted features for mitosis detection;0277-786X;-;Proceedings Of Spie, The International Society For Optical Engineering;-;2014;Sin Información;9041;90410B a 90410B;-;-;-;-;-;-
Artículo de revista;A comparative evaluation of supervised and unsupervised representation learning approaches for anaplastic medulloblastoma differentiation;0277-786X;-;Proceedings Of Spie, The International Society For Optical Engineering;-;2015;Sin Información;9287;92870G a 92870G;-;-;-;-;-;-
Artículo de revista;Automatic detection of invasive ductal carcinoma in whole slide images with convolutional neural networks;0277-786X;-;Proceedings Of Spie, The International Society For Optical Engineering;-;2014;Sin Información;9041;904103 a 904103;-;-;-;-;-;-
Artículo de revista;Anotación y descripción de textos digitales sin formato de la base de casos médicos de la Facultad de Medicina de la Universidad Nacional de Colombia;0121-053X;-;Cuadernos De Lingüística Hispánica;-;2012;Sin Información;20;83 a 98;-;-;-;-;-;-
Artículo de revista;Anotación y descripción de textos digitales sin formato de la base de casos médicos de la Facultad de Medicina de la Universidad Nacional de Colombia;0121-053X;-;Cuadernos De Lingüística Hispánica;-;2012;Sin Información;20;83 a 98;-;-;-;-;-;-
Artículo de revista;Anotación y descripción de textos digitales sin formato de la base de casos médicos de la Facultad de Medicina de la Universidad Nacional de Colombia;0121-053X;-;Cuadernos De Lingüística Hispánica;-;2012;Sin Información;20;83 a 98;-;-;-;-;-;-
Artículo de revista;Extracting Salient Brain Patterns for Imaging-Based Classification of Neurodegenerative Diseases;0278-0062;-;Ieee Transactions On Medical Imaging;-;2014;Sin Información;33;1262 a 1274;-;-;-;-;-;-
Artículo de revista;Anotación y descripción de textos digitales sin formato de la base de casos médicos de la Facultad de Medicina de la Universidad Nacional de Colombia;0121-053X;-;Cuadernos De Lingüística Hispánica;-;2012;Sin Información;20;83 a 98;-;-;-;-;-;-
Artículo de revista;Image indexing using regularized online non-negative semantic embedding;1088-467X;-;Intelligent Data Analysis;-;2014;Sin Información;18;S101 a S114;-;-;-;-;-;-
Artículo de revista;Assessment of algorithms for mitosis detection in breast cancer histopathology images;1361-8415;-;Medical Image Analysis;-;2015;Sin Información;20;237 a 248;-;-;-;-;-;-
Artículo de revista;Hybrid image representation learning model with invariant features for basal cell carcinoma detection;0277-786X;-;Proceedings Of Spie, The International Society For Optical Engineering;-;2013;Sin Información;8922;89220M a 89220M;-;-;-;-;-;-
Artículo de revista;Online Matrix Factorization for Space Embedding Multilabel Annotation;0302-9743;-;Lecture Notes In Computer Science;-;2013;Sin Información;8258;343 a 350;-;-;-;-;-;-
Artículo de revista;The promise and challenges of artificial immune system based web usage mining: Preliminary results;0302-9743;-;Lecture Notes In Computer Science;-;2002;Sin Información;N/A;N/A a N/A;-;-;-;-;-;-
Artículo de revista;MICS: Multimodal image collection summarization by optimal reconstruction subset selection;0018-9219;-;Proceedings Of The Ieee;-;2013;Sin Información;N/A;1 a 6;-;-;-;-;-;-
Artículo de revista;A comparison of geometric and energy-based point cloud semantic segmentation methods;0018-9219;-;Proceedings Of The Ieee;-;2013;Sin Información;N/A;88 a 93;-;-;-;-;-;-
Artículo de revista;An evaluation of NMF algorithm on human action video retrieval;0018-9219;-;Proceedings Of The Ieee;-;2013;Sin Información;N/A;1 a 4;-;-;-;-;-;-
Artículo de revista;Bag-of-visual-ngrams for histopathology image classification;0277-786X;-;Proceedings Of Spie, The International Society For Optical Engineering;-;2013;Sin Información;8922;89220P a 89220P;-;-;-;-;-;-
Artículo de revista;A comparison of geometric and energy-based point cloud semantic segmentation methods;0018-9219;-;Proceedings Of The Ieee;-;2013;Sin Información;N/A;88 a 93;-;-;-;-;-;-
Artículo de revista;An adaptive image representation learned from data for cervix cancer tumor detection.;0277-786X;-;Proceedings Of Spie, The International Society For Optical Engineering;-;2013;Sin Información;8676;86760Q a 86760Q;-;-;-;-;-;-
Artículo de revista;A kernel-based framework for image collection exploration.;1045-926X;-;Journal Of Visual Languages And Computing;-;2013;Sin Información;24;53 a 67;-;-;-;-;-;-
Artículo de revista;Saliency-Based Characterization of Group Differences for Magnetic Resonance Disease Classification;0012-7353;-;Dyna;-;2013;Sin Información;80;21 a 28;-;-;-;-;-;-
Artículo de revista;A Deep Learning Architecture for Image Representation, Visual Interpretability and Automated Basal-Cell Carcinoma Cancer Detection.;0302-9743;-;Lecture Notes In Computer Science;-;2013;Sin Información;8150;403 a 410;-;-;-;-;-;-
Artículo de revista;SOFTCARDINALITY: Hierarchical Text Overlap for Student Response Analysis;1611-3349;-;Lecture Notes In Computer Science;-;2013;Sin Información;2;280 a 284;-;-;-;-;-;-
Artículo de revista;Generalized mongue-elkan method for approximate text string comparison.;1611-3349;-;Lecture Notes In Computer Science;-;2009;Sin Información;5449;559 a 570;-;-;-;-;-;-
Artículo de revista;A Multi-Class Kernel Alignment Method for Image Collection Summarization.;1611-3349;-;Lecture Notes In Computer Science;-;2009;Sin Información;5856;545 a 552;-;-;-;-;-;-
Artículo de revista;A Web-Based System for Biomedical Image Storage, Annotation, Content-Based Retrieval and Exploration.;0254-7813;-;Computer Science And Informatics;-;2009;Sin Información;N/A; a  a  a  a  a ;-;-;-;-;-;-
Artículo de revista;Visualization of Large Collections of Medical Images;1611-3349;-;Lecture Notes In Computer Science;-;2009;Sin Información;N/A; a  a  a  a  a ;-;-;-;-;-;-
Artículo de revista;Kernel-Based Visualization of Large Collections of Medical Images Involving Domain Knowledge.;1611-3349;-;Lecture Notes In Computer Science;-;2009;Sin Información;N/A; a  a  a  a  a ;-;-;-;-;-;-
Artículo de revista;Histopathology image classification using bag of features and kernel functions.;1611-3349;-;Lecture Notes In Computer Science;-;2009;Sin Información;5651;126 a 135;-;-;-;-;-;-
Artículo de revista;Visual pattern analysis in histopathology images using bag of features;1611-3349;-;Lecture Notes In Computer Science;-;2009;Sin Información;5856;521 a 528;-;-;-;-;-;-
Artículo de revista;Tool to Generate Local Internet Weather;0302-9743;-;Lecture Notes In Computer Science;-;2002;Sin Información;N/A;507 a 510;-;-;-;-;-;-
Artículo de revista;Evolving complex fuzzy classifier rules using a linear tree genetic representation.;0302-9743;-;Lecture Notes In Computer Science;-;2001;Sin Información;N/A;299 a 305;-;-;-;-;-;-
Artículo de revista;Visualizing multimodal image collections;0018-9219;-;Proceedings Of The Ieee;-;2013;Sin Información;N/A;1 a 6;-;-;-;-;-;-
Artículo de revista;Large Scale Image Indexing Using Online Non-negative Semantic Embedding;0302-9743;-;Lecture Notes In Computer Science;-;2013;Sin Información;8258;367 a 374;-;-;-;-;-;-
Artículo de revista;Content-Based Histopathology Image Retrieval Using a Kernel-based Semantic Annotation Framework;1532-0480;-;Journal Of Biomedical Informatics;-;2011;Sin Información;44;519 a 528;-;-;-;-;-;-
Artículo de revista;A System for Accessing a Collection of Histology Images Using Content-Based strategies;1900-1649;-;Acta Biologica Colombiana (Online);-;2010;Sin Información;15;221 a 234;-;-;-;-;-;-
Artículo de revista;A Semi-Automatic Method for Quantification and Clasification of Erythrocytes Infected With Mataria Parasites in Microscopic Images;1532-0464;-;Journal Of Biomedical Informatics;-;2008;Sin Información;42;296 a 307;-;-;-;-;-;-
Artículo de revista;Multimodal Representation, Indexing, Automated Annotation and Retrieval of Image Collections via Non-Negative Matrix Factorization;0925-2312;-;Neurocomputing;-;2012;Sin Información;76;50 a 60;-;-;-;-;-;-
Artículo de revista;Visual Pattern Mining in Histology Collections Using Bag of Features;0933-3657;-;Artificial Intelligence In Medicine;-;2011;Sin Información;52;91 a 106;-;-;-;-;-;-
Artículo de revista;INDIE: An Artificial Immune Network for On-Line Density Estimation;0302-9743;-;Lecture Notes In Computer Science;-;2008;Sin Información;5317;254 a 265;-;-;-;-;-;-
Artículo de revista;Exploiting Stock Data: a Survey of State of the Art Computational Techniques Aimed at Producing Beliefs Regarding Investment Portfolios;0120-5609;-;Ingeniería E Investigación;-;2008;Sin Información;28;105 a 116;-;-;-;-;-;-
Artículo de revista;Metric Indexing for Content - Based Medical Image Retrieval;1657-7663;-;Avances En Sistemas E Informática;-;2008;Sin Información;5;73 a 79;-;-;-;-;-;-
Artículo de revista;Towards a Kernel Based Model for Artificial Immune Networks;1657-7663;-;Avances En Sistemas E Informática;-;2008;Sin Información;5;65 a 71;-;-;-;-;-;-
Artículo de revista;Histology image search using multimodal fusion;1532-0464;-;Journal Of Biomedical Informatics;-;2014;Sin Información;51;114 a 128;-;-;-;-;-;-
Artículo de revista;Modelos de aprendizaje computacional en reumatología;0121-8123;-;Revista Colombiana De Reumatología;-;2015;Sin Información;22;77 a 78;-;-;-;-;-;-
Artículo de revista;Histopathology image representation for automatic analysis: A state-of-the-art review;0121-5256;-;Revista Med;-;2014;Sin Información;22;79 a 91;-;-;-;-;-;-
Artículo de revista;Supervised Greedy Layer-Wise Training for Deep Convolutional Networks with Small Datasets;0302-9743;-;Lecture Notes In Computer Science;-;2015;Sin Información;9329;275 a 284;-;-;-;-;-;-
Artículo de revista;A method for medulloblastoma tumor differentiation based on convolutional neural networks and transfer learning;0277-786X;-;Proceedings Of Spie, The International Society For Optical Engineering;-;2015;Sin Información;9681;968103 a 968103 a 8;-;-;-;-;-;-
Artículo de revista;An Ontology-Based Information Extractor for Data-Rich Documents in the Information Technology Domain;1657-7663;-;Avances En Sistemas E Informática;-;2008;Sin Información;5;47 a 54;-;-;-;-;-;-
Artículo de revista;Multimodal Representation, Indexing, Automated Annotation and Retrieval of Image Collections via Non-negative Matrix Factorization;0925-2312;-;Neurocomputing;-;2012;Sin Información;76;50 a 60;-;-;-;-;-;-
Artículo de revista;Monitoring of illicit pill distribution networks using an image collection exploration framework.;0379-0738;-;Forensic Science International;-;2012;Sin Información;223;298 a 305;-;-;-;-;-;-
Artículo de revista;A Semi-Automatic Method for Quantification and Classification of Erythrocytes Infected with Malaria Parasites in Microscopic Images;1532-0464;-;Journal Of Biomedical Informatics;-;2008;Sin Información;42;296 a 307;-;-;-;-;-;-
Artículo de revista;A Kernel-Based Multi-Feature Image Representation for Histopathology Image Classification;0120-548X;-;Acta Biologica Colombiana;-;2010;Sin Información;15;251 a 260;-;-;-;-;-;-
Artículo de revista;Learning Regions of Interest from Low Level Maps in Virtual Microscopy;1746-1596;-;Diagnostic Pathology;-;2011;Sin Información;6;S22 a ;-;-;-;-;-;-
